name,abv,price,size,kind,establishment_type,bar_name,county_name,beer_category,origin_zone,bar_url,beer_url
Brasserie Dupont / Allagash Brewers' Bridge,6.1,7.0,5.0,Draft,Bar,The Owl Farm,Kings,Ale,world,https://www.beermenus.com/places/5931-the-owl-farm,https://www.beermenus.com/beers/311579-brasserie-dupont-allagash-brewers-bridge
Saison Dupont Vielle Provision,6.5,9.0,11.0,Bottle,Bar,Burnside,Kings,Ale,world,https://www.beermenus.com/places/3054-burnside,https://www.beermenus.com/beers/58918-saison-dupont-vielle-provision
Brasserie Dupont Saison Dupont Saison,6.5,9.0,13.0,Draft,Bar,The Wilky,Kings,Ale,world,https://www.beermenus.com/places/26488-the-wilky,https://www.beermenus.com/beers/46371-brasserie-dupont-saison-dupont-saison
Saison Dupont Vielle Provision,6.5,11.0,12.0,Draft,Restaurant,Amsterdam Ale House,New York,Ale,world,https://www.beermenus.com/places/640-amsterdam-ale-house,https://www.beermenus.com/beers/58918-saison-dupont-vielle-provision
Saison Dupont Vielle Provision,6.5,9.0,12.0,Bottle,Bar,Dive Bar NYC,New York,Ale,world,https://www.beermenus.com/places/203-dive-bar-nyc,https://www.beermenus.com/beers/58918-saison-dupont-vielle-provision
Saison Dupont Vielle Provision,6.5,9.0,12.0,Bottle,Bar,Adobe Blues,Richmond,Ale,world,https://www.beermenus.com/places/2078-adobe-blues,https://www.beermenus.com/beers/58918-saison-dupont-vielle-provision
Slyboro Kingston Black,8.0,21.0,25.4,Bottle,Restaurant,Treadwell Park Downtown,New York,Fruit,state,https://www.beermenus.com/places/49223-treadwell-park-downtown,https://www.beermenus.com/beers/168855-slyboro-kingston-black
St. Bernardus Abt 12,10.0,13.0,11.2,Bottle,Restaurant,Treadwell Park Downtown,New York,Belgian,world,https://www.beermenus.com/places/49223-treadwell-park-downtown,https://www.beermenus.com/beers/728-st-bernardus-abt-12
St. Bernardus Abt 12,10.0,25.0,25.4,Bottle,Bar,Fourth Avenue Pub,Kings,Belgian,world,https://www.beermenus.com/places/278-fourth-avenue-pub,https://www.beermenus.com/beers/728-st-bernardus-abt-12
St. Bernardus Abt 12,10.0,13.0,11.2,Bottle,Restaurant,Giorgio's of Gramercy,New York,Belgian,world,https://www.beermenus.com/places/30343-giorgio-s-of-gramercy,https://www.beermenus.com/beers/728-st-bernardus-abt-12
St. Bernardus Abt 12,10.0,12.0,12.0,Bottle,Bar,Hops Hill,Kings,Belgian,world,https://www.beermenus.com/places/16433-hops-hill,https://www.beermenus.com/beers/728-st-bernardus-abt-12
St. Bernardus Tripel,8.0,6.0,5.0,Draft,Bar,The Owl Farm,Kings,Belgian,world,https://www.beermenus.com/places/5931-the-owl-farm,https://www.beermenus.com/beers/1621-st-bernardus-tripel
St. Bernardus Wit,5.5,11.0,14.0,Draft,Bar,Teds Corner Tavern,New York,Wheat,world,https://www.beermenus.com/places/19613-teds-corner-tavern,https://www.beermenus.com/beers/3385-st-bernardus-wit
St. Bernardus Abt 12,10.0,12.0,11.2,Bottle,Bar,The Well,Kings,Belgian,world,https://www.beermenus.com/places/18701-the-well,https://www.beermenus.com/beers/728-st-bernardus-abt-12
St. Bernardus Wit,5.5,9.0,5.5,Can,,Treadwell Park West,New York,Wheat,world,https://www.beermenus.com/places/56966-treadwell-park-west,https://www.beermenus.com/beers/3385-st-bernardus-wit
St. Bernardus Abt 12,10.0,9.0,11.0,Draft,Brewery,Mikkeller Brewing NYC,Queens,Belgian,world,https://www.beermenus.com/places/52249-mikkeller-brewing-nyc,https://www.beermenus.com/beers/728-st-bernardus-abt-12
Trappistes Rochfort #8,9.2,13.0,11.2,Bottle,Restaurant,Treadwell Park Downtown,New York,Belgian,world,https://www.beermenus.com/places/49223-treadwell-park-downtown,https://www.beermenus.com/beers/238701-trappistes-rochfort-8
Rochefort 10,11.3,12.0,12.0,Bottle,Bar,Blind Tiger Ale House,New York,Belgian,world,https://www.beermenus.com/places/188-blind-tiger-ale-house,https://www.beermenus.com/beers/4019-rochefort-10
Rochefort 10,11.3,12.0,11.0,Bottle,Bar,Barrow Street Alehouse,New York,Belgian,world,https://www.beermenus.com/places/8199-barrow-street-alehouse,https://www.beermenus.com/beers/4019-rochefort-10
Rochefort 10,11.3,14.0,11.2,Bottle,Bar,Fourth Avenue Pub,Kings,Belgian,world,https://www.beermenus.com/places/278-fourth-avenue-pub,https://www.beermenus.com/beers/4019-rochefort-10
Rochefort 8,9.2,12.0,11.2,Bottle,Bar,Fourth Avenue Pub,Kings,Belgian,world,https://www.beermenus.com/places/278-fourth-avenue-pub,https://www.beermenus.com/beers/4018-rochefort-8
Rochefort 10,11.3,11.0,12.0,Bottle,Bar,High Dive,Kings,Belgian,world,https://www.beermenus.com/places/2248-high-dive,https://www.beermenus.com/beers/4019-rochefort-10
Rochefort 6,7.5,8.0,12.0,Bottle,Bar,High Dive,Kings,Belgian,world,https://www.beermenus.com/places/2248-high-dive,https://www.beermenus.com/beers/4017-rochefort-6
Rochefort 8,9.2,9.0,12.0,Bottle,Bar,High Dive,Kings,Belgian,world,https://www.beermenus.com/places/2248-high-dive,https://www.beermenus.com/beers/4018-rochefort-8
Rochefort Trappistes 10 2008,11.3,15.0,12.0,Bottle,Bar,Hops Hill,Kings,Belgian,world,https://www.beermenus.com/places/16433-hops-hill,https://www.beermenus.com/beers/2154-rochefort-trappistes-10-2008
Rochefort Trappistes 8 2008,9.2,14.0,12.0,Bottle,Bar,Hops Hill,Kings,Belgian,world,https://www.beermenus.com/places/16433-hops-hill,https://www.beermenus.com/beers/228760-rochefort-trappistes-8-2008
Rochefort 10,11.3,12.0,12.0,Bottle,Bar,Sugarburg,Kings,Belgian,world,https://www.beermenus.com/places/16204-sugarburg,https://www.beermenus.com/beers/4019-rochefort-10
Rochefort Trappistes 10,11.3,16.0,11.0,Bottle,Bar,Beer Authority,New York,,world,https://www.beermenus.com/places/4418-beer-authority,https://www.beermenus.com/beers/100-rochefort-trappistes-10
Rochefort Trappistes 6 2006,7.5,12.0,11.0,Bottle,Bar,Beer Authority,New York,Belgian,world,https://www.beermenus.com/places/4418-beer-authority,https://www.beermenus.com/beers/2157-rochefort-trappistes-6-2006
Rochefort 10,11.3,14.0,11.2,Bottle,,Treadwell Park West,New York,Belgian,world,https://www.beermenus.com/places/56966-treadwell-park-west,https://www.beermenus.com/beers/4019-rochefort-10
Trappistes Rochfort #8,9.2,13.0,11.2,Bottle,,Treadwell Park West,New York,Belgian,world,https://www.beermenus.com/places/56966-treadwell-park-west,https://www.beermenus.com/beers/238701-trappistes-rochfort-8
Rochefort 10,11.3,14.0,12.0,Bottle,Bar,Valhalla,New York,Belgian,world,https://www.beermenus.com/places/540-valhalla,https://www.beermenus.com/beers/4019-rochefort-10
Rochefort 10,11.3,15.0,11.0,Bottle,Restaurant,Amsterdam Ale House,New York,Belgian,world,https://www.beermenus.com/places/640-amsterdam-ale-house,https://www.beermenus.com/beers/4019-rochefort-10
Rochefort 8,9.2,13.0,11.0,Bottle,Restaurant,Amsterdam Ale House,New York,Belgian,world,https://www.beermenus.com/places/640-amsterdam-ale-house,https://www.beermenus.com/beers/4018-rochefort-8
